Samara,Santiago,Rivera,samara.santiago.322@email.com,SARS691490IVAMAAN6,SARS691490522,$2a$04$yXvf0UJSE8IL0/vzkF/Y3uxBOtNtOq4JUYO3Xjipes1tpmC3K/xuC,5586624549,CARRETERA A LOMA ALTA S/N.
Maria,Vazquez,Guzman,maria.vazquez.360@email.com,VAGM771195UZARAAZ4,VAGM771195828,$2a$04$oQ1597y7R1ovTUBOEzxoCOgZjMmT1W1wkm1Eca39umKoGevsNdGgG,5501992093,CARRETERA A LOMA ALTA S/N.
Elizabeth,Juarez,Gomez,elizabeth.juarez.771@email.com,JUGE999902OMLIAUA6,JUGE999902368,$2a$04$8pveIMDIL7lle8a/kMBmH.BYZ3e6ITzlbGWmQcfd2rF18J4cXgoBq,5575744243,DANIEL SOTO NO.370
Ximena,Castillo,Bautista,ximena.castillo.239@email.com,CABX277206AUIMAAS8,CABX277206750,$2a$04$wTkjVXfMevcB.Z1wK/85ke1PrGRhzLYgVyLivfVG07B4LmvWsIWAW,5574644750,CALLE AGUSTIN LARA NO. 69-B
Matias,Juarez,Perez,matias.juarez.680@email.com,JUPM744510ERATAUA8,JUPM744510845,$2a$04$Pzpgg5PVlDs1be3pT5zqLeg9XmkcB5U/UyMbTS3wWcUz.ii3I6E/a,5563249476,INDEPENDENCIA 85
Samuel,Mendez,Guzman,samuel.mendez.412@email.com,MEGS165196UZAMAEN9,MEGS165196418,$2a$04$n2c0ku2VLJNmRoUU3c.4.OJQM4pn8yPS2hYDWWYQGDImlhdHRzmnS,5550971536,AV. INDEPENDENCIA NO. 779
Isaac,Salazar,Juarez,isaac.salazar.527@email.com,SAJI555603UASAAAL7,SAJI555603101,$2a$04$9ytRqDYRli1X7k9.Ao8B7ugoH8rbIj6/MWiT8rs.ee82qL/FVYray,5500596774,CARRETERA A LOMA ALTA S/N.
David,Herrera,Dominguez,david.herrera.207@email.com,HEDD275806OMAVAER3,HEDD275806129,$2a$04$e4bXbK/8z/Kr.RhU.8aXY.SRo9SnoiJCNcCFdfJU5zvJg2P6QfVK.,5588054312,INDEPENDENCIA NO. 569 B
Rafael,Mendez,Castillo,rafael.mendez.116@email.com,MECR160646ASAFAEN8,MECR160646611,$2a$04$il8c4U6n2yTeBjDyrszlOe.cjqINHov6kNcc9ML2p72IwHSTDiwiG,5504372448,AV. FERROCARRIL S/N.
Alejandra,Estrada,Rodriguez,alejandra.estrada.891@email.com,ESRA643278ODLEAST9,ESRA643278545,$2a$04$aDHWM8IwUNi18ScjngQ/F.e/uiI6cnZ5irCVBD3.fx0p.sbwOSXQG,5584736288,AV. JESUS CARRANZA NO. 812
Jose Luis,Gomez,Rivera,jose.luis.gomez.569@email.com,GORJ585590IVOSAOM2,GORJ585590268,$2a$04$o4M1oyRGd/F6KmWTCAwsg.GdRlQJpJ3seFSrGVI0rctG.EzgB5Qym,5553235563,AV. INDEPENDENCIA NO. 39
Jose Manuel,Chavez,Ramirez,jose.manuel.chavez.823@email.com,CHRJ246337AMOSAHA5,CHRJ246337340,$2a$04$u87mgNAy/p50u1a.xeQKZOHMM8vLBLuGj/XIgRcDvPA2YPXqdem36,5555866175,DANIEL SOTO NO.370
Isaac,Guerrero,Morales,isaac.guerrero.685@email.com,GUMI219250ORSAAUE6,GUMI219250831,$2a$04$SF4qC6/0uSeg3aQuMz1B8OtRbsboTbKA4061fY20HF6sTFdGi8M8O,5585761794,CARRETERA A LOMA ALTA S/N.
Axel,Gomez,Jimenez,axel.gomez.272@email.com,GOJA365945IMXEAOM8,GOJA365945993,$2a$04$6Oc.mEULe.tr7ZmR4VmuT.WpbTTVFqU.uCuB1RWB2tK70BJtY0N06,5585169967,ALDAMA NO 1212
Rafael,Estrada,Herrera,rafael.estrada.482@email.com,ESHR479683ERAFAST3,ESHR479683889,$2a$04$dcTnNqL.bDO3hOr.RACkFOnXjWyXurU3M7kOoWKTQdkkf6x/m0kJC,5537164913,AV. JESUS CARRANZA NO. 812
